"","","","","","","","","","","","","","","","",""
"60","CITS","100.00 (0.0000)","95.00 (4.8700)","90.00 (6.7100)","80.00 (8.9400)","55.00 (11.1200)","90.00 (6.7100)","95.00 (4.8700)","90.00 (6.7100)","75.00 (9.6800)","55.00 (11.1200)","95.00 (4.8700)","100.00 (0.0000)","80.00 (8.9400)","80.00 (8.9400)","65.00 (10.6700)"
"60","CITS(rho = 0.4)","90.00 (6.7100)","85.00 (7.9800)","90.00 (6.7100)","90.00 (6.7100)","45.00 (11.1200)","90.00 (6.7100)","95.00 (4.8700)","85.00 (7.9800)","80.00 (8.9400)","80.00 (8.9400)","95.00 (4.8700)","95.00 (4.8700)","80.00 (8.9400)","65.00 (10.6700)","65.00 (10.6700)"
"60","Trd","90.00 (6.7100)","90.00 (6.7100)","85.00 (7.9800)","95.00 (4.8700)","60.00 (10.9500)","95.00 (4.8700)","75.00 (9.6800)","100.00 (0.0000)","80.00 (8.9400)","85.00 (7.9800)","95.00 (4.8700)","90.00 (6.7100)","85.00 (7.9800)","85.00 (7.9800)","60.00 (10.9500)"
"80","CITS","90.00 (6.7100)","85.00 (7.9800)","100.00 (0.0000)","85.00 (7.9800)","60.00 (10.9500)","90.00 (6.7100)","100.00 (0.0000)","95.00 (4.8700)","85.00 (7.9800)","65.00 (10.6700)","95.00 (4.8700)","95.00 (4.8700)","70.00 (10.2500)","75.00 (9.6800)","70.00 (10.2500)"
"80","CITS(rho = 0.4)","90.00 (6.7100)","85.00 (7.9800)","95.00 (4.8700)","90.00 (6.7100)","55.00 (11.1200)","75.00 (9.6800)","85.00 (7.9800)","80.00 (8.9400)","70.00 (10.2500)","80.00 (8.9400)","95.00 (4.8700)","90.00 (6.7100)","80.00 (8.9400)","75.00 (9.6800)","45.00 (11.1200)"
"80","Trd","100.00 (0.0000)","85.00 (7.9800)","80.00 (8.9400)","75.00 (9.6800)","60.00 (10.9500)","85.00 (7.9800)","90.00 (6.7100)","80.00 (8.9400)","75.00 (9.6800)","80.00 (8.9400)","95.00 (4.8700)","90.00 (6.7100)","80.00 (8.9400)","95.00 (4.8700)","55.00 (11.1200)"
"100","CITS","80.00 (8.9400)","100.00 (0.0000)","90.00 (6.7100)","90.00 (6.7100)","75.00 (9.6800)","95.00 (4.8700)","85.00 (7.9800)","90.00 (6.7100)","90.00 (6.7100)","65.00 (10.6700)","95.00 (4.8700)","95.00 (4.8700)","90.00 (6.7100)","90.00 (6.7100)","65.00 (10.6700)"
"100","CITS(rho = 0.4)","95.00 (4.8700)","95.00 (4.8700)","80.00 (8.9400)","95.00 (4.8700)","55.00 (11.1200)","100.00 (0.0000)","90.00 (6.7100)","90.00 (6.7100)","90.00 (6.7100)","60.00 (10.9500)","100.00 (0.0000)","95.00 (4.8700)","90.00 (6.7100)","80.00 (8.9400)","70.00 (10.2500)"
"100","Trd","95.00 (4.8700)","90.00 (6.7100)","85.00 (7.9800)","75.00 (9.6800)","65.00 (10.6700)","95.00 (4.8700)","90.00 (6.7100)","80.00 (8.9400)","60.00 (10.9500)","80.00 (8.9400)","90.00 (6.7100)","80.00 (8.9400)","95.00 (4.8700)","85.00 (7.9800)","80.00 (8.9400)"
"150","CITS","95.00 (4.8700)","85.00 (7.9800)","90.00 (6.7100)","90.00 (6.7100)","60.00 (10.9500)","100.00 (0.0000)","95.00 (4.8700)","100.00 (0.0000)","80.00 (8.9400)","60.00 (10.9500)","95.00 (4.8700)","90.00 (6.7100)","90.00 (6.7100)","90.00 (6.7100)","65.00 (10.6700)"
"150","CITS(rho = 0.4)","90.00 (6.7100)","85.00 (7.9800)","85.00 (7.9800)","90.00 (6.7100)","90.00 (6.7100)","90.00 (6.7100)","95.00 (4.8700)","100.00 (0.0000)","85.00 (7.9800)","70.00 (10.2500)","85.00 (7.9800)","90.00 (6.7100)","95.00 (4.8700)","80.00 (8.9400)","70.00 (10.2500)"
"150","Trd","100.00 (0.0000)","85.00 (7.9800)","90.00 (6.7100)","90.00 (6.7100)","80.00 (8.9400)","95.00 (4.8700)","90.00 (6.7100)","90.00 (6.7100)","85.00 (7.9800)","75.00 (9.6800)","95.00 (4.8700)","85.00 (7.9800)","90.00 (6.7100)","90.00 (6.7100)","70.00 (10.2500)"
