"rho","n","EstimandScenario","j","Method","estimate","se","pvalue","converged","true_B"
"0",12,"Large",15,"CITS_spill_3pct",-0.184024960891774,0.100406735286561,0.0668330652474163,TRUE,-0.5108
"0",12,"Large",16,"Trd",-0.264117055144038,0.258561688105641,0.307024402398134,TRUE,-0.5108
"0",12,"Large",16,"CITS",-0.582991272507494,0.11989453872917,1.15892456818618e-06,TRUE,-0.5108
"0",12,"Large",16,"CITS_0.4_constant",-0.672010722338975,0.159231882017671,2.43947447280171e-05,TRUE,-0.5108
"0",12,"Large",16,"CITS_spill_3pct",-0.468085082926098,0.135166312510961,0.000534127550742339,TRUE,-0.5108
"0",12,"Large",17,"Trd",-0.338304342764328,0.329383186146719,0.304380708461155,TRUE,-0.5108
"0",12,"Large",17,"CITS",-0.661834860743861,0.11937772254554,2.95571382991213e-08,TRUE,-0.5108
"0",12,"Large",17,"CITS_0.4_constant",-0.447416114105465,0.0759597693009125,3.85793628855536e-09,TRUE,-0.5108
"0",12,"Large",17,"CITS_spill_3pct",-0.504909339699436,0.159851465413359,0.0015852040160779,TRUE,-0.5108
"0",12,"Large",18,"Trd",-0.482343968069786,0.313897233040195,0.124383892677344,TRUE,-0.5108
"0",12,"Large",18,"CITS",-0.389458171940741,0.110004109221405,0.000399526187143748,TRUE,-0.5108
"0",12,"Large",18,"CITS_0.4_constant",-0.209833308811235,0.10114026790607,0.0380165526521009,TRUE,-0.5108
"0",12,"Large",18,"CITS_spill_3pct",-0.204637734133694,0.0945282346957171,0.0304005639806142,TRUE,-0.5108
"0",12,"Large",19,"Trd",-0.841393728187334,0.266556528818458,0.00159658363595261,TRUE,-0.5108
"0",12,"Large",19,"CITS",-0.466661125464109,0.139713372103435,0.000837385340236204,TRUE,-0.5108
"0",12,"Large",19,"CITS_0.4_constant",-0.62818903701812,0.14968288348973,2.70713500061551e-05,TRUE,-0.5108
"0",12,"Large",19,"CITS_spill_3pct",-0.422411143628107,0.141563613620575,0.00284603205668337,TRUE,-0.5108
"0",12,"Large",20,"Trd",-0.253935430027904,0.346530197804971,0.463683764035513,TRUE,-0.5108
"0",12,"Large",20,"CITS",-0.442814057570182,0.0733441202813635,1.5653429118871e-09,TRUE,-0.5108
"0",12,"Large",20,"CITS_0.4_constant",-0.462211566767011,0.117731200999986,8.63735947029234e-05,TRUE,-0.5108
"0",12,"Large",20,"CITS_spill_3pct",-0.31874348043314,0.0919479758557119,0.00052715755375229,TRUE,-0.5108
"0",14,"Small",1,"Trd",-0.327693818200718,0.266547100802046,0.218920727985525,TRUE,-0.0408
