"","","","","","","","","","","","","","","","",""
"Length of series (n)","Method","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)"
"44","CITS_0.4_constant","-0.0358 (0.0994)","-0.0322 (0.1232)","-0.0587 (0.1718)","-0.0454 (0.2546)","-0.0113 (0.4049)","-0.3536 (0.1115)","-0.3358 (0.1270)","-0.3802 (0.1602)","-0.3569 (0.2125)","-0.3903 (0.4042)","-0.5277 (0.1062)","-0.5352 (0.1349)","-0.5293 (0.1634)","-0.5045 (0.2241)","-0.5017 (0.4043)"
"48","Trd","-0.0401 (0.2157)","-0.0357 (0.2394)","0.0061 (0.2940)","-0.0240 (0.3894)","-0.1115 (0.6520)","-0.3614 (0.2037)","-0.3630 (0.2524)","-0.3737 (0.2808)","-0.3234 (0.4502)","-0.3781 (0.5885)","-0.4761 (0.2112)","-0.4826 (0.2515)","-0.5270 (0.3211)","-0.5047 (0.4254)","-0.4972 (0.5839)"
"48","CITS","-0.0354 (0.0642)","-0.0384 (0.0730)","-0.0345 (0.1001)","-0.0521 (0.1475)","-0.0582 (0.2544)","-0.3570 (0.0646)","-0.3617 (0.0762)","-0.3526 (0.0965)","-0.3629 (0.1283)","-0.3560 (0.2307)","-0.5119 (0.0621)","-0.5055 (0.0727)","-0.4994 (0.1026)","-0.5304 (0.1386)","-0.5243 (0.2813)"
"48","CITS_0.4_constant","-0.1628 (0.1089)","-0.1654 (0.1289)","-0.1364 (0.1597)","-0.1519 (0.2259)","-0.2419 (0.4249)","-0.4830 (0.0927)","-0.4620 (0.1278)","-0.4603 (0.1409)","-0.4577 (0.2243)","-0.4772 (0.4069)","-0.6381 (0.0920)","-0.6180 (0.1206)","-0.6367 (0.1644)","-0.6503 (0.2307)","-0.5925 (0.3926)"
"52","Trd","-0.0348 (0.2292)","0.0182 (0.2478)","-0.0569 (0.3159)","0.0251 (0.3873)","-0.0656 (0.6233)","-0.3662 (0.2240)","-0.3419 (0.2498)","-0.3833 (0.3226)","-0.3980 (0.3722)","-0.5051 (0.5649)","-0.5154 (0.2135)","-0.5118 (0.2676)","-0.5472 (0.2914)","-0.4691 (0.4433)","-0.4862 (0.6077)"
"52","CITS","-0.0319 (0.0660)","-0.0390 (0.0701)","-0.0496 (0.0969)","-0.0220 (0.1284)","-0.0641 (0.2390)","-0.3496 (0.0694)","-0.3549 (0.0717)","-0.3671 (0.1005)","-0.3600 (0.1386)","-0.3581 (0.2676)","-0.5231 (0.0656)","-0.5062 (0.0656)","-0.5138 (0.0870)","-0.5149 (0.1414)","-0.5712 (0.2287)"
"52","CITS_0.4_constant","-0.1278 (0.0996)","-0.1176 (0.1113)","-0.1521 (0.1561)","-0.1038 (0.2080)","-0.1070 (0.3992)","-0.4428 (0.1064)","-0.4511 (0.1118)","-0.4498 (0.1685)","-0.4655 (0.2212)","-0.4829 (0.3780)","-0.6039 (0.0949)","-0.5913 (0.1195)","-0.6064 (0.1596)","-0.5899 (0.2349)","-0.6356 (0.4043)"
"56","Trd","-0.0240 (0.2051)","-0.0352 (0.2262)","-0.0054 (0.3270)","-0.0218 (0.4214)","-0.0645 (0.6004)","-0.3254 (0.2207)","-0.3576 (0.2593)","-0.3858 (0.2683)","-0.3223 (0.4498)","-0.3909 (0.6497)","-0.4856 (0.2182)","-0.5208 (0.2314)","-0.4931 (0.2651)","-0.4686 (0.3838)","-0.5426 (0.5879)"
"56","CITS","-0.0504 (0.0652)","-0.0399 (0.0630)","-0.0380 (0.0888)","-0.0214 (0.1250)","-0.0226 (0.2104)","-0.3593 (0.0546)","-0.3575 (0.0622)","-0.3610 (0.0856)","-0.3701 (0.1290)","-0.3748 (0.2397)","-0.5100 (0.0558)","-0.5058 (0.0705)","-0.5053 (0.0983)","-0.5044 (0.1277)","-0.4989 (0.2486)"
"56","CITS_0.4_constant","-0.1025 (0.1034)","-0.1051 (0.1164)","-0.0864 (0.1533)","-0.0847 (0.2153)","-0.0878 (0.3671)","-0.4265 (0.0936)","-0.4216 (0.1031)","-0.4417 (0.1577)","-0.4149 (0.2094)","-0.4482 (0.3732)","-0.5855 (0.0910)","-0.5957 (0.1189)","-0.5974 (0.1352)","-0.6009 (0.2062)","-0.5919 (0.3429)"
