"rho","n","EstimandScenario","Method","Policy effect (Empirical SE)","Bias (MCSE)","Coverage 95% (MCSE)","Power (MCSE)","Empirical SE (Model-based SE)","Mean square error (MCSE)","true_val"
"0.4",28,"Moderate","Controlled interrupted time series(CITS)","-0.3644 (0.1269)","-0.0077 (0.0014)","83.30 (0.4000)","91.84 (0.2900)","0.1269 (0.0962)","0.0162 (0.0002)",-0.3567
"0.4",28,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3643 (0.1258)","-0.0076 (0.0013)","83.38 (0.4000)","91.87 (0.2900)","0.1258 (0.0960)","0.0159 (0.0002)",-0.3567
"0.4",28,"Moderate","Multivariable negative binomial regression(Trd)","-0.3448 (0.3620)","0.0119 (0.0039)","77.64 (0.4500)","39.38 (0.5200)","0.3620 (0.2509)","0.1312 (0.0020)",-0.3567
"0.4",28,"Large","Controlled interrupted time series(CITS)","-0.5167 (0.1248)","-0.0059 (0.0013)","82.84 (0.4000)","99.38 (0.0800)","0.1248 (0.0955)","0.0156 (0.0002)",-0.5108
"0.4",28,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5176 (0.1242)","-0.0068 (0.0013)","84.00 (0.3900)","99.51 (0.0800)","0.1242 (0.0960)","0.0155 (0.0002)",-0.5108
"0.4",28,"Large","Multivariable negative binomial regression(Trd)","-0.5000 (0.3635)","0.0108 (0.0039)","77.80 (0.4500)","54.58 (0.5300)","0.3635 (0.2499)","0.1323 (0.0021)",-0.5108
"0.4",32,"Small","Controlled interrupted time series(CITS)","-0.0465 (0.1139)","-0.0057 (0.0012)","85.21 (0.3800)","18.07 (0.4100)","0.1139 (0.0900)","0.0130 (0.0002)",-0.0408
"0.4",32,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0458 (0.1147)","-0.0050 (0.0012)","85.04 (0.3800)","17.71 (0.4100)","0.1147 (0.0901)","0.0132 (0.0002)",-0.0408
"0.4",32,"Small","Multivariable negative binomial regression(Trd)","-0.0347 (0.3448)","0.0061 (0.0037)","79.70 (0.4300)","20.55 (0.4300)","0.3448 (0.2462)","0.1189 (0.0018)",-0.0408
"0.4",32,"Moderate","Controlled interrupted time series(CITS)","-0.3648 (0.1155)","-0.0081 (0.0012)","84.35 (0.3900)","94.96 (0.2300)","0.1155 (0.0900)","0.0134 (0.0002)",-0.3567
"0.4",32,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3646 (0.1157)","-0.0079 (0.0012)","84.30 (0.3900)","94.57 (0.2400)","0.1157 (0.0898)","0.0134 (0.0002)",-0.3567
"0.4",32,"Moderate","Multivariable negative binomial regression(Trd)","-0.3448 (0.3473)","0.0119 (0.0037)","78.57 (0.4400)","39.50 (0.5200)","0.3473 (0.2457)","0.1208 (0.0018)",-0.3567
"0.4",32,"Large","Controlled interrupted time series(CITS)","-0.5179 (0.1164)","-0.0071 (0.0012)","84.75 (0.3900)","99.76 (0.0500)","0.1164 (0.0906)","0.0136 (0.0002)",-0.5108
"0.4",32,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5185 (0.1160)","-0.0077 (0.0012)","84.81 (0.3900)","99.75 (0.0500)","0.1160 (0.0909)","0.0135 (0.0002)",-0.5108
"0.4",32,"Large","Multivariable negative binomial regression(Trd)","-0.5023 (0.3494)","0.0085 (0.0037)","78.64 (0.4400)","55.18 (0.5300)","0.3494 (0.2448)","0.1222 (0.0019)",-0.5108
"0.4",36,"Small","Controlled interrupted time series(CITS)","-0.0460 (0.1078)","-0.0052 (0.0012)","84.89 (0.3800)","17.79 (0.4100)","0.1078 (0.0850)","0.0117 (0.0002)",-0.0408
"0.4",36,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0457 (0.1081)","-0.0049 (0.0012)","85.21 (0.3800)","17.75 (0.4100)","0.1081 (0.0851)","0.0117 (0.0002)",-0.0408
"0.4",36,"Small","Multivariable negative binomial regression(Trd)","-0.0311 (0.3386)","0.0097 (0.0036)","80.96 (0.4200)","19.10 (0.4200)","0.3386 (0.2498)","0.1147 (0.0017)",-0.0408
"0.4",36,"Moderate","Controlled interrupted time series(CITS)","-0.3617 (0.1087)","-0.0050 (0.0012)","85.17 (0.3800)","95.76 (0.2200)","0.1087 (0.0856)","0.0118 (0.0002)",-0.3567
"0.4",36,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3621 (0.1078)","-0.0054 (0.0012)","85.67 (0.3800)","96.14 (0.2100)","0.1078 (0.0854)","0.0117 (0.0002)",-0.3567
"0.4",36,"Moderate","Multivariable negative binomial regression(Trd)","-0.3516 (0.3415)","0.0051 (0.0037)","80.43 (0.4300)","39.65 (0.5200)","0.3415 (0.2466)","0.1166 (0.0018)",-0.3567
"0.4",36,"Large","Controlled interrupted time series(CITS)","-0.5166 (0.1085)","-0.0058 (0.0012)","85.76 (0.3700)","99.90 (0.0300)","0.1085 (0.0858)","0.0118 (0.0002)",-0.5108
"0.4",36,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5163 (0.1087)","-0.0055 (0.0012)","85.61 (0.3800)","99.91 (0.0300)","0.1087 (0.0859)","0.0118 (0.0002)",-0.5108
"0.4",36,"Large","Multivariable negative binomial regression(Trd)","-0.5055 (0.3394)","0.0053 (0.0036)","81.11 (0.4200)","55.35 (0.5300)","0.3394 (0.2464)","0.1152 (0.0018)",-0.5108
"0.4",40,"Small","Controlled interrupted time series(CITS)","-0.0448 (0.1009)","-0.0040 (0.0011)","86.28 (0.3700)","17.03 (0.4000)","0.1009 (0.0813)","0.0102 (0.0002)",-0.0408
"0.4",40,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0450 (0.1008)","-0.0042 (0.0011)","86.35 (0.3700)","17.13 (0.4000)","0.1008 (0.0813)","0.0102 (0.0002)",-0.0408
"0.4",40,"Small","Multivariable negative binomial regression(Trd)","-0.0407 (0.3357)","0.0001 (0.0036)","81.61 (0.4200)","18.45 (0.4200)","0.3357 (0.2485)","0.1127 (0.0017)",-0.0408
"0.4",40,"Moderate","Controlled interrupted time series(CITS)","-0.3635 (0.1029)","-0.0068 (0.0011)","86.11 (0.3700)","97.24 (0.1800)","0.1029 (0.0818)","0.0106 (0.0002)",-0.3567
"0.4",40,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3628 (0.1023)","-0.0061 (0.0011)","86.29 (0.3700)","97.48 (0.1700)","0.1023 (0.0815)","0.0105 (0.0002)",-0.3567
"0.4",40,"Moderate","Multivariable negative binomial regression(Trd)","-0.3504 (0.3355)","0.0063 (0.0036)","82.01 (0.4100)","38.39 (0.5200)","0.3355 (0.2478)","0.1126 (0.0017)",-0.3567
"0.4",40,"Large","Controlled interrupted time series(CITS)","-0.5185 (0.1033)","-0.0077 (0.0011)","86.07 (0.3700)","99.97 (0.0200)","0.1033 (0.0815)","0.0107 (0.0002)",-0.5108
"0.4",40,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5176 (0.1032)","-0.0068 (0.0011)","85.78 (0.3700)","99.94 (0.0300)","0.1032 (0.0815)","0.0107 (0.0002)",-0.5108
"0.4",40,"Large","Multivariable negative binomial regression(Trd)","-0.5050 (0.3385)","0.0058 (0.0036)","81.27 (0.4200)","55.44 (0.5300)","0.3385 (0.2460)","0.1146 (0.0017)",-0.5108
"0.4",44,"Small","Controlled interrupted time series(CITS)","-0.0432 (0.0961)","-0.0024 (0.0010)","86.63 (0.3700)","16.99 (0.4000)","0.0961 (0.0776)","0.0092 (0.0001)",-0.0408
"0.4",44,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0438 (0.0959)","-0.0030 (0.0010)","86.79 (0.3600)","16.82 (0.4000)","0.0959 (0.0776)","0.0092 (0.0001)",-0.0408
"0.4",44,"Small","Multivariable negative binomial regression(Trd)","-0.0335 (0.3229)","0.0073 (0.0035)","81.79 (0.4100)","18.55 (0.4200)","0.3229 (0.2392)","0.1043 (0.0016)",-0.0408
"0.4",44,"Moderate","Controlled interrupted time series(CITS)","-0.3634 (0.0976)","-0.0067 (0.0010)","86.42 (0.3700)","98.27 (0.1400)","0.0976 (0.0780)","0.0096 (0.0001)",-0.3567
"0.4",44,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3620 (0.0967)","-0.0053 (0.0010)","86.18 (0.3700)","98.60 (0.1300)","0.0967 (0.0780)","0.0094 (0.0001)",-0.3567
"0.4",44,"Moderate","Multivariable negative binomial regression(Trd)","-0.3456 (0.3248)","0.0111 (0.0035)","80.94 (0.4200)","39.65 (0.5200)","0.3248 (0.2367)","0.1056 (0.0016)",-0.3567
"0.4",44,"Large","Controlled interrupted time series(CITS)","-0.5177 (0.0972)","-0.0069 (0.0010)","86.31 (0.3700)","99.99 (0.0100)","0.0972 (0.0781)","0.0095 (0.0001)",-0.5108
"0.4",44,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5171 (0.0970)","-0.0063 (0.0010)","86.52 (0.3700)","99.98 (0.0200)","0.0970 (0.0780)","0.0095 (0.0001)",-0.5108
"0.4",44,"Large","Multivariable negative binomial regression(Trd)","-0.5077 (0.3237)","0.0031 (0.0035)","81.18 (0.4200)","57.65 (0.5300)","0.3237 (0.2390)","0.1048 (0.0016)",-0.5108
"0.4",48,"Small","Controlled interrupted time series(CITS)","-0.0444 (0.0919)","-0.0036 (0.0010)","86.80 (0.3600)","16.72 (0.4000)","0.0919 (0.0745)","0.0085 (0.0001)",-0.0408
"0.4",48,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0440 (0.0909)","-0.0032 (0.0010)","87.02 (0.3600)","16.56 (0.4000)","0.0909 (0.0742)","0.0083 (0.0001)",-0.0408
"0.4",48,"Small","Multivariable negative binomial regression(Trd)","-0.0365 (0.3095)","0.0043 (0.0033)","82.27 (0.4100)","18.00 (0.4100)","0.3095 (0.2329)","0.0958 (0.0015)",-0.0408
"0.4",48,"Moderate","Controlled interrupted time series(CITS)","-0.3631 (0.0931)","-0.0064 (0.0010)","86.34 (0.3700)","98.95 (0.1100)","0.0931 (0.0749)","0.0087 (0.0001)",-0.3567
"0.4",48,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3626 (0.0928)","-0.0059 (0.0010)","87.13 (0.3600)","98.88 (0.1100)","0.0928 (0.0749)","0.0086 (0.0001)",-0.3567
"0.4",48,"Moderate","Multivariable negative binomial regression(Trd)","-0.3575 (0.3147)","-0.0008 (0.0034)","81.73 (0.4100)","41.11 (0.5300)","0.3147 (0.2314)","0.0990 (0.0015)",-0.3567
"0.4",48,"Large","Controlled interrupted time series(CITS)","-0.5180 (0.0923)","-0.0072 (0.0010)","87.32 (0.3600)","99.99 (0.0100)","0.0923 (0.0751)","0.0086 (0.0001)",-0.5108
"0.4",48,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5180 (0.0922)","-0.0072 (0.0010)","87.30 (0.3600)","99.99 (0.0100)","0.0922 (0.0751)","0.0085 (0.0001)",-0.5108
"0.4",48,"Large","Multivariable negative binomial regression(Trd)","-0.4999 (0.3126)","0.0109 (0.0034)","82.03 (0.4100)","58.20 (0.5300)","0.3126 (0.2325)","0.0978 (0.0015)",-0.5108
"0.4",52,"Small","Controlled interrupted time series(CITS)","-0.0456 (0.0873)","-0.0048 (0.0009)","87.44 (0.3600)","16.97 (0.4000)","0.0873 (0.0718)","0.0076 (0.0001)",-0.0408
"0.4",52,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0451 (0.0878)","-0.0043 (0.0009)","87.48 (0.3600)","17.14 (0.4000)","0.0878 (0.0718)","0.0077 (0.0001)",-0.0408
"0.4",52,"Small","Multivariable negative binomial regression(Trd)","-0.0345 (0.3063)","0.0063 (0.0033)","82.84 (0.4000)","17.67 (0.4100)","0.3063 (0.2322)","0.0939 (0.0014)",-0.0408
"0.4",52,"Moderate","Controlled interrupted time series(CITS)","-0.3629 (0.0893)","-0.0062 (0.0010)","87.04 (0.3600)","99.32 (0.0900)","0.0893 (0.0721)","0.0080 (0.0001)",-0.3567
"0.4",52,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3640 (0.0894)","-0.0073 (0.0010)","86.74 (0.3600)","99.18 (0.1000)","0.0894 (0.0720)","0.0081 (0.0001)",-0.3567
"0.4",52,"Moderate","Multivariable negative binomial regression(Trd)","-0.3506 (0.3078)","0.0061 (0.0033)","82.59 (0.4100)","40.45 (0.5300)","0.3078 (0.2314)","0.0948 (0.0014)",-0.3567
"0.4",52,"Large","Controlled interrupted time series(CITS)","-0.5156 (0.0894)","-0.0048 (0.0010)","86.79 (0.3600)","100.00 (0.0000)","0.0894 (0.0720)","0.0080 (0.0001)",-0.5108
"0.4",52,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5155 (0.0898)","-0.0047 (0.0010)","86.38 (0.3700)","99.99 (0.0100)","0.0898 (0.0722)","0.0081 (0.0001)",-0.5108
"0.4",52,"Large","Multivariable negative binomial regression(Trd)","-0.5114 (0.3090)","-0.0006 (0.0033)","82.62 (0.4100)","58.99 (0.5300)","0.3090 (0.2328)","0.0955 (0.0015)",-0.5108
"0.4",56,"Small","Controlled interrupted time series(CITS)","-0.0451 (0.0855)","-0.0043 (0.0009)","87.02 (0.3600)","17.38 (0.4100)","0.0855 (0.0692)","0.0073 (0.0001)",-0.0408
"0.4",56,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0456 (0.0857)","-0.0048 (0.0009)","86.97 (0.3600)","17.48 (0.4100)","0.0857 (0.0692)","0.0074 (0.0001)",-0.0408
"0.4",56,"Small","Multivariable negative binomial regression(Trd)","-0.0394 (0.2946)","0.0014 (0.0032)","84.08 (0.3900)","16.47 (0.4000)","0.2946 (0.2273)","0.0868 (0.0013)",-0.0408
"0.4",56,"Moderate","Controlled interrupted time series(CITS)","-0.3625 (0.0842)","-0.0058 (0.0009)","88.08 (0.3500)","99.52 (0.0700)","0.0842 (0.0694)","0.0071 (0.0001)",-0.3567
"0.4",56,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3618 (0.0848)","-0.0051 (0.0009)","87.12 (0.3600)","99.60 (0.0700)","0.0848 (0.0694)","0.0072 (0.0001)",-0.3567
"0.4",56,"Moderate","Multivariable negative binomial regression(Trd)","-0.3513 (0.3046)","0.0054 (0.0033)","82.77 (0.4100)","41.39 (0.5300)","0.3046 (0.2282)","0.0928 (0.0014)",-0.3567
"0.4",56,"Large","Controlled interrupted time series(CITS)","-0.5180 (0.0863)","-0.0072 (0.0009)","86.92 (0.3600)","100.00 (0.0000)","0.0863 (0.0696)","0.0075 (0.0001)",-0.5108
"0.4",56,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5178 (0.0857)","-0.0070 (0.0009)","86.99 (0.3600)","100.00 (0.0000)","0.0857 (0.0696)","0.0074 (0.0001)",-0.5108
"0.4",56,"Large","Multivariable negative binomial regression(Trd)","-0.5057 (0.2970)","0.0051 (0.0032)","83.24 (0.4000)","60.14 (0.5300)","0.2970 (0.2277)","0.0882 (0.0013)",-0.5108
"0.4",60,"Small","Controlled interrupted time series(CITS)","-0.0454 (0.0815)","-0.0046 (0.0009)","87.91 (0.3500)","17.67 (0.4100)","0.0815 (0.0670)","0.0067 (0.0001)",-0.0408
"0.4",60,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0451 (0.0819)","-0.0043 (0.0009)","87.98 (0.3500)","17.55 (0.4100)","0.0819 (0.0671)","0.0067 (0.0001)",-0.0408
"0.4",60,"Small","Multivariable negative binomial regression(Trd)","-0.0351 (0.2901)","0.0057 (0.0031)","83.98 (0.3900)","16.19 (0.4000)","0.2901 (0.2222)","0.0842 (0.0013)",-0.0408
"0.4",60,"Moderate","Controlled interrupted time series(CITS)","-0.3625 (0.0837)","-0.0058 (0.0009)","86.67 (0.3600)","99.76 (0.0500)","0.0837 (0.0671)","0.0070 (0.0001)",-0.3567
"0.4",60,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3624 (0.0837)","-0.0057 (0.0009)","86.65 (0.3600)","99.65 (0.0600)","0.0837 (0.0671)","0.0070 (0.0001)",-0.3567
"0.4",60,"Moderate","Multivariable negative binomial regression(Trd)","-0.3530 (0.2911)","0.0037 (0.0031)","83.45 (0.4000)","41.95 (0.5300)","0.2911 (0.2228)","0.0848 (0.0013)",-0.3567
"0.4",60,"Large","Controlled interrupted time series(CITS)","-0.5181 (0.0813)","-0.0073 (0.0009)","87.80 (0.3500)","100.00 (0.0000)","0.0813 (0.0671)","0.0067 (0.0001)",-0.5108
"0.4",60,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5175 (0.0820)","-0.0067 (0.0009)","87.60 (0.3500)","100.00 (0.0000)","0.0820 (0.0672)","0.0068 (0.0001)",-0.5108
"0.4",60,"Large","Multivariable negative binomial regression(Trd)","-0.5088 (0.2943)","0.0020 (0.0032)","83.18 (0.4000)","61.43 (0.5200)","0.2943 (0.2223)","0.0866 (0.0013)",-0.5108
"0.4",80,"Small","Controlled interrupted time series(CITS)","-0.0429 (0.0703)","-0.0021 (0.0008)","88.72 (0.3400)","18.15 (0.4100)","0.0703 (0.0581)","0.0049 (0.0001)",-0.0408
"0.4",80,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0432 (0.0705)","-0.0024 (0.0008)","88.78 (0.3400)","17.93 (0.4100)","0.0705 (0.0582)","0.0050 (0.0001)",-0.0408
"0.4",80,"Small","Multivariable negative binomial regression(Trd)","-0.0383 (0.2553)","0.0025 (0.0027)","85.27 (0.3800)","15.38 (0.3900)","0.2553 (0.2011)","0.0652 (0.0010)",-0.0408
"0.4",80,"Moderate","Controlled interrupted time series(CITS)","-0.3614 (0.0712)","-0.0047 (0.0008)","88.02 (0.3500)","99.98 (0.0200)","0.0712 (0.0585)","0.0051 (0.0001)",-0.3567
"0.4",80,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3609 (0.0714)","-0.0042 (0.0008)","88.35 (0.3400)","99.92 (0.0300)","0.0714 (0.0586)","0.0051 (0.0001)",-0.3567
"0.4",80,"Moderate","Multivariable negative binomial regression(Trd)","-0.3529 (0.2559)","0.0038 (0.0027)","85.28 (0.3800)","45.98 (0.5300)","0.2559 (0.2006)","0.0655 (0.0010)",-0.3567
"0.4",80,"Large","Controlled interrupted time series(CITS)","-0.5148 (0.0720)","-0.0040 (0.0008)","87.76 (0.3500)","100.00 (0.0000)","0.0720 (0.0584)","0.0052 (0.0001)",-0.5108
"0.4",80,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5150 (0.0718)","-0.0042 (0.0008)","88.06 (0.3500)","100.00 (0.0000)","0.0718 (0.0585)","0.0052 (0.0001)",-0.5108
"0.4",80,"Large","Multivariable negative binomial regression(Trd)","-0.5079 (0.2592)","0.0029 (0.0028)","84.81 (0.3900)","67.76 (0.5000)","0.2592 (0.2013)","0.0672 (0.0010)",-0.5108
"0.4",100,"Small","Controlled interrupted time series(CITS)","-0.0439 (0.0630)","-0.0031 (0.0007)","89.30 (0.3300)","18.04 (0.4100)","0.0630 (0.0538)","0.0040 (0.0001)",-0.0408
"0.4",100,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0443 (0.0636)","-0.0035 (0.0007)","89.15 (0.3300)","18.87 (0.4200)","0.0636 (0.0539)","0.0041 (0.0001)",-0.0408
"0.4",100,"Small","Multivariable negative binomial regression(Trd)","-0.0412 (0.2295)","-0.0004 (0.0025)","86.08 (0.3700)","14.38 (0.3800)","0.2295 (0.1854)","0.0526 (0.0008)",-0.0408
"0.4",100,"Moderate","Controlled interrupted time series(CITS)","-0.3622 (0.0635)","-0.0055 (0.0007)","89.42 (0.3300)","100.00 (0.0000)","0.0635 (0.0540)","0.0041 (0.0001)",-0.3567
"0.4",100,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3621 (0.0636)","-0.0054 (0.0007)","89.47 (0.3300)","100.00 (0.0000)","0.0636 (0.0540)","0.0041 (0.0001)",-0.3567
"0.4",100,"Moderate","Multivariable negative binomial regression(Trd)","-0.3556 (0.2295)","0.0011 (0.0025)","86.83 (0.3600)","51.38 (0.5400)","0.2295 (0.1850)","0.0526 (0.0008)",-0.3567
"0.4",100,"Large","Controlled interrupted time series(CITS)","-0.5169 (0.0627)","-0.0061 (0.0007)","90.09 (0.3200)","100.00 (0.0000)","0.0627 (0.0541)","0.0040 (0.0001)",-0.5108
"0.4",100,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5168 (0.0625)","-0.0060 (0.0007)","90.09 (0.3200)","100.00 (0.0000)","0.0625 (0.0540)","0.0039 (0.0001)",-0.5108
"0.4",100,"Large","Multivariable negative binomial regression(Trd)","-0.5105 (0.2304)","0.0003 (0.0025)","86.13 (0.3700)","74.75 (0.4700)","0.2304 (0.1840)","0.0531 (0.0008)",-0.5108
"0.4",150,"Small","Controlled interrupted time series(CITS)","-0.0439 (0.0510)","-0.0031 (0.0005)","90.58 (0.3100)","21.06 (0.4400)","0.0510 (0.0443)","0.0026 (0.0000)",-0.0408
"0.4",150,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0438 (0.0514)","-0.0030 (0.0006)","90.24 (0.3200)","21.26 (0.4400)","0.0514 (0.0444)","0.0027 (0.0000)",-0.0408
"0.4",150,"Small","Multivariable negative binomial regression(Trd)","-0.0387 (0.1847)","0.0021 (0.0020)","87.99 (0.3500)","13.18 (0.3600)","0.1847 (0.1534)","0.0341 (0.0005)",-0.0408
"0.4",150,"Moderate","Controlled interrupted time series(CITS)","-0.3615 (0.0515)","-0.0048 (0.0006)","90.04 (0.3200)","100.00 (0.0000)","0.0515 (0.0446)","0.0027 (0.0000)",-0.3567
"0.4",150,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3611 (0.0517)","-0.0044 (0.0006)","90.22 (0.3200)","100.00 (0.0000)","0.0517 (0.0445)","0.0027 (0.0000)",-0.3567
"0.4",150,"Moderate","Multivariable negative binomial regression(Trd)","-0.3555 (0.1841)","0.0012 (0.0020)","88.86 (0.3400)","61.59 (0.5200)","0.1841 (0.1550)","0.0339 (0.0005)",-0.3567
"0.4",150,"Large","Controlled interrupted time series(CITS)","-0.5163 (0.0519)","-0.0055 (0.0006)","89.83 (0.3200)","100.00 (0.0000)","0.0519 (0.0447)","0.0027 (0.0000)",-0.5108
"0.4",150,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5163 (0.0523)","-0.0055 (0.0006)","89.61 (0.3300)","100.00 (0.0000)","0.0523 (0.0447)","0.0028 (0.0000)",-0.5108
"0.4",150,"Large","Multivariable negative binomial regression(Trd)","-0.5072 (0.1868)","0.0036 (0.0020)","87.55 (0.3500)","86.40 (0.3700)","0.1868 (0.1542)","0.0349 (0.0005)",-0.5108
"0.6",12,"Small","Controlled interrupted time series(CITS)","-0.0512 (0.2820)","-0.0104 (0.0030)","64.36 (0.5100)","36.48 (0.5200)","0.2820 (0.1460)","0.0796 (0.0012)",-0.0408
"0.6",12,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0502 (0.2562)","-0.0094 (0.0027)","68.80 (0.5000)","31.89 (0.5000)","0.2562 (0.1462)","0.0657 (0.0010)",-0.0408
"0.6",12,"Small","Multivariable negative binomial regression(Trd)","-0.0289 (0.4718)","0.0119 (0.0051)","73.53 (0.4700)","26.48 (0.4700)","0.4718 (0.3172)","0.2227 (0.0034)",-0.0408
"0.6",12,"Moderate","Controlled interrupted time series(CITS)","-0.3673 (0.2812)","-0.0106 (0.0030)","63.18 (0.5200)","66.34 (0.5100)","0.2812 (0.1456)","0.0792 (0.0012)",-0.3567
"0.6",12,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3663 (0.2578)","-0.0096 (0.0028)","68.93 (0.5000)","65.68 (0.5100)","0.2578 (0.1481)","0.0665 (0.0010)",-0.3567
"0.6",12,"Moderate","Multivariable negative binomial regression(Trd)","-0.3434 (0.4747)","0.0133 (0.0051)","74.10 (0.4700)","37.07 (0.5200)","0.4747 (0.3201)","0.2255 (0.0034)",-0.3567
"0.6",12,"Large","Controlled interrupted time series(CITS)","-0.5196 (0.2785)","-0.0088 (0.0030)","64.62 (0.5100)","82.19 (0.4100)","0.2785 (0.1462)","0.0776 (0.0012)",-0.5108
"0.6",12,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5198 (0.2551)","-0.0090 (0.0027)","69.03 (0.5000)","82.94 (0.4000)","0.2551 (0.1474)","0.0651 (0.0010)",-0.5108
"0.6",12,"Large","Multivariable negative binomial regression(Trd)","-0.4950 (0.4780)","0.0158 (0.0051)","74.33 (0.4700)","46.11 (0.5300)","0.4780 (0.3213)","0.2287 (0.0035)",-0.5108
"0.6",14,"Small","Controlled interrupted time series(CITS)","-0.0509 (0.2613)","-0.0101 (0.0028)","66.15 (0.5100)","34.35 (0.5100)","0.2613 (0.1405)","0.0684 (0.0010)",-0.0408
"0.6",14,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0500 (0.2376)","-0.0092 (0.0025)","71.02 (0.4900)","29.85 (0.4900)","0.2376 (0.1402)","0.0566 (0.0009)",-0.0408
"0.6",14,"Small","Multivariable negative binomial regression(Trd)","-0.0275 (0.4744)","0.0133 (0.0051)","72.92 (0.4800)","27.35 (0.4800)","0.4744 (0.3039)","0.2252 (0.0034)",-0.0408
"0.6",14,"Moderate","Controlled interrupted time series(CITS)","-0.3688 (0.2597)","-0.0121 (0.0028)","66.45 (0.5100)","69.01 (0.5000)","0.2597 (0.1397)","0.0676 (0.0011)",-0.3567
"0.6",14,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3644 (0.2374)","-0.0077 (0.0025)","70.94 (0.4900)","67.88 (0.5000)","0.2374 (0.1404)","0.0564 (0.0009)",-0.3567
"0.6",14,"Moderate","Multivariable negative binomial regression(Trd)","-0.3390 (0.4756)","0.0177 (0.0051)","73.12 (0.4800)","37.29 (0.5200)","0.4756 (0.3053)","0.2265 (0.0035)",-0.3567
"0.6",14,"Large","Controlled interrupted time series(CITS)","-0.5244 (0.2599)","-0.0136 (0.0028)","66.10 (0.5100)","84.47 (0.3900)","0.2599 (0.1408)","0.0677 (0.0011)",-0.5108
"0.6",14,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5235 (0.2397)","-0.0127 (0.0026)","70.22 (0.4900)","85.57 (0.3800)","0.2397 (0.1408)","0.0576 (0.0009)",-0.5108
"0.6",14,"Large","Multivariable negative binomial regression(Trd)","-0.4993 (0.4773)","0.0115 (0.0051)","72.92 (0.4800)","48.64 (0.5400)","0.4773 (0.3064)","0.2279 (0.0035)",-0.5108
"0.6",16,"Small","Controlled interrupted time series(CITS)","-0.0514 (0.2437)","-0.0106 (0.0026)","67.32 (0.5000)","33.49 (0.5100)","0.2437 (0.1374)","0.0595 (0.0009)",-0.0408
"0.6",16,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0502 (0.2247)","-0.0094 (0.0024)","70.75 (0.4900)","29.59 (0.4900)","0.2247 (0.1365)","0.0506 (0.0008)",-0.0408
"0.6",16,"Small","Multivariable negative binomial regression(Trd)","-0.0322 (0.4649)","0.0086 (0.0050)","70.06 (0.4900)","29.97 (0.4900)","0.4649 (0.2811)","0.2162 (0.0034)",-0.0408
"0.6",16,"Moderate","Controlled interrupted time series(CITS)","-0.3646 (0.2430)","-0.0079 (0.0026)","67.74 (0.5000)","69.98 (0.4900)","0.2430 (0.1363)","0.0591 (0.0009)",-0.3567
