"rho","n","EstimandScenario","Method","Policy effect (Empirical SE)","Bias (MCSE)","Coverage 95% (MCSE)","Power (MCSE)","Empirical SE (Model-based SE)","Mean square error (MCSE)","true_val"
"0",40,"Moderate","Multivariable negative binomial regression(Trd)","-0.3543 (0.2420)","0.0024 (0.0026)","87.29 (0.3600)","45.20 (0.5300)","0.2420 (0.2053)","0.0586 (0.0009)",-0.3567
"0",40,"Large","Controlled interrupted time series(CITS)","-0.5174 (0.0673)","-0.0066 (0.0007)","92.31 (0.2900)","100.00 (0.0000)","0.0673 (0.0642)","0.0046 (0.0001)",-0.5108
"0",40,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5204 (0.1026)","-0.0096 (0.0011)","87.86 (0.3500)","99.98 (0.0200)","0.1026 (0.0858)","0.0106 (0.0002)",-0.5108
"0",40,"Large","Multivariable negative binomial regression(Trd)","-0.5113 (0.2407)","-0.0005 (0.0026)","87.11 (0.3600)","68.17 (0.5000)","0.2407 (0.2048)","0.0579 (0.0009)",-0.5108
"0",44,"Small","Controlled interrupted time series(CITS)","-0.0441 (0.0640)","-0.0033 (0.0007)","92.62 (0.2800)","13.97 (0.3700)","0.0640 (0.0606)","0.0041 (0.0001)",-0.0408
"0",44,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0451 (0.0994)","-0.0043 (0.0011)","86.98 (0.3600)","16.30 (0.4000)","0.0994 (0.0815)","0.0099 (0.0001)",-0.0408
"0",44,"Small","Multivariable negative binomial regression(Trd)","-0.0361 (0.2287)","0.0047 (0.0025)","87.35 (0.3600)","13.01 (0.3600)","0.2287 (0.1966)","0.0523 (0.0008)",-0.0408
"0",44,"Moderate","Controlled interrupted time series(CITS)","-0.3610 (0.0636)","-0.0043 (0.0007)","92.39 (0.2800)","99.99 (0.0100)","0.0636 (0.0608)","0.0041 (0.0001)",-0.3567
"0",44,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3632 (0.0975)","-0.0065 (0.0010)","88.09 (0.3500)","97.96 (0.1500)","0.0975 (0.0818)","0.0095 (0.0001)",-0.3567
"0",44,"Moderate","Multivariable negative binomial regression(Trd)","-0.3499 (0.2237)","0.0068 (0.0024)","88.02 (0.3500)","46.90 (0.5400)","0.2237 (0.1963)","0.0501 (0.0008)",-0.3567
"0",44,"Large","Controlled interrupted time series(CITS)","-0.5162 (0.0643)","-0.0054 (0.0007)","92.35 (0.2900)","100.00 (0.0000)","0.0643 (0.0613)","0.0042 (0.0001)",-0.5108
"0",44,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5185 (0.0992)","-0.0077 (0.0011)","87.38 (0.3600)","100.00 (0.0000)","0.0992 (0.0819)","0.0099 (0.0001)",-0.5108
"0",44,"Large","Multivariable negative binomial regression(Trd)","-0.5090 (0.2295)","0.0018 (0.0025)","86.98 (0.3600)","71.80 (0.4800)","0.2295 (0.1953)","0.0527 (0.0008)",-0.5108
"0",48,"Small","Controlled interrupted time series(CITS)","-0.0436 (0.0614)","-0.0028 (0.0007)","92.27 (0.2900)","14.66 (0.3800)","0.0614 (0.0579)","0.0038 (0.0001)",-0.0408
"0",48,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0439 (0.0951)","-0.0031 (0.0010)","87.48 (0.3600)","16.23 (0.4000)","0.0951 (0.0786)","0.0090 (0.0001)",-0.0408
"0",48,"Small","Multivariable negative binomial regression(Trd)","-0.0402 (0.2233)","0.0006 (0.0024)","87.10 (0.3600)","13.32 (0.3600)","0.2233 (0.1895)","0.0498 (0.0007)",-0.0408
