"rho","n","EstimandScenario","Method","R_total","R_converged","nonconv_rate","true_val","B_hat","Bias","MCSE_Bias","Bias_percent","MSE_estimate","MCSE_MSE","coverage","MCSE_coverage","power","MCSE_power","Empirical_SE","avg_model_SE","ratio_Emp_ModelSE","power_pct","MCSE_power_pct","coverage_pct","MCSE_cov_pct"
"0.6",14,"Moderate","Trd",8688,8688,0,-0.3567,-0.339,0.0177,0.0051,4.96,0.2265,0.00347546545532652,0.731238489871087,0.0048,0.37292817679558,0.0052,0.4756,0.3053,1.5578,37.29,0.52,73.12,0.48
"0.6",14,"Large","CITS",8688,8688,0,-0.5108,-0.5246,-0.0138,0.0028,2.7,0.0677,0.00105673829631314,0.661372007366482,0.0051,0.845303867403315,0.0039,0.2598,0.1407,1.8465,84.53,0.39,66.14,0.51
"0.6",14,"Large","CITS_0.4_constant",8688,8688,0,-0.5108,-0.5237,-0.0129,0.0026,2.53,0.0576,0.000913292597590573,0.702348066298343,0.0049,0.856008287292818,0.0038,0.2397,0.1407,1.7036,85.6,0.38,70.23,0.49
"0.6",14,"Large","CITS_spill_3pct",8688,8688,0,-0.5108,-0.4196,0.0912,0.0028,17.85,0.076,0.00112288664071664,0.627762430939227,0.0052,0.741137200736648,0.0047,0.2602,0.1408,1.848,74.11,0.47,62.78,0.52
"0.6",14,"Large","Trd",8688,8688,0,-0.5108,-0.4993,0.0115,0.0051,2.25,0.2279,0.0034637244638827,0.729166666666667,0.0048,0.486418047882136,0.0054,0.4773,0.3064,1.5578,48.64,0.54,72.92,0.48
"0.6",16,"Small","CITS",8688,8688,0,-0.0408,-0.0516,-0.0108,0.0026,26.47,0.0594,0.000915278962367486,0.674033149171271,0.005,0.335520257826888,0.0051,0.2435,0.1373,1.7735,33.55,0.51,67.4,0.5
"0.6",16,"Small","CITS_0.4_constant",8688,8688,0,-0.0408,-0.0504,-0.0096,0.0024,23.53,0.0506,0.000778644686734149,0.707527624309392,0.0049,0.296500920810313,0.0049,0.2247,0.1365,1.6462,29.65,0.49,70.75,0.49
"0.6",16,"Small","CITS_spill_3pct",8688,8688,0,-0.0408,0.0536,0.0944,0.0026,231.37,0.068,0.00101016097165002,0.63328729281768,0.0052,0.335635359116022,0.0051,0.2431,0.1373,1.7706,33.56,0.51,63.33,0.52
"0.6",16,"Small","Trd",8688,8688,0,-0.0408,-0.0322,0.0086,0.005,21.08,0.2162,0.00338065395032839,0.700621546961326,0.0049,0.299723756906077,0.0049,0.4649,0.2811,1.6539,29.97,0.49,70.06,0.49
"0.6",16,"Moderate","CITS",8688,8688,0,-0.3567,-0.3648,-0.0081,0.0026,2.27,0.059,0.00090950976775705,0.677371086556169,0.005,0.700046040515654,0.0049,0.2428,0.1362,1.7827,70,0.49,67.74,0.5
